idx,AirQualityStation,img_path,Month,Altitude,s5p_path,rural,rural-nearcity,rural-regional,suburban,urban,background,industrial,traffic,tavg,prcp,wspd,pres,tsun,co,so2,pm10,o3,no2
11,STA_ES2063A_10,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,14,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.8,384.0,13.5,1019.0,5700.0,0.1396346414073071,1.2592692825033829,29.13799185792401,33.94303112269283,25.899864680947225
12,STA_ES1432A_11,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,3,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.6,233.0,7.9,1024.1,6300.0,0.6226122446666666,10.338775510204082,21.181756755135137,35.559183673469384,15.862585034013604
13,STA_ES1432A_12,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,4,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.6,51.0,7.0,1023.8,11580.0,0.9733034367713004,11.227204783258594,21.771535020834577,43.91778774289985,12.563527653213752
14,STA_ES1432A_13,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,6,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,79.0,8.1,1012.5,10920.0,0.3232869080779944,11.772980501392755,13.014066848830083,52.05710306406685,4.962395543175488
15,STA_ES1432A_14,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,7,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.8,57.0,7.8,1018.5,13740.0,0.2204070556309362,4.858887381275441,13.829419700323887,54.41926729986432,4.180461329715061
16,STA_ES1432A_15,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,8,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,89.0,7.1,1016.0,7560.0,0.2368061366806136,4.216178521617852,14.485495115983264,51.5391061452514,3.7405857740585775
17,STA_ES1432A_16,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,9,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.6,55.0,6.6,1016.6,10920.0,0.2304055944055944,6.121786197564276,15.881029808617884,58.34506089309878,4.756427604871448
18,STA_ES1432A_17,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,10,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.8,52.0,6.1,1017.7,9660.0,0.2408502024291497,7.5492577597840755,14.267924525660378,57.26450742240216,4.426450742240216
19,STA_ES1432A_18,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,11,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.9,56.0,7.0,1020.2,11460.0,0.1907503607503607,5.701298701298701,14.407771258269795,56.54689754689755,5.053391053391054
20,STA_ES1432A_19,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,12,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.5,133.0,6.6,1016.2,7800.0,0.3281446111869031,3.8240109140518417,13.64011064704011,34.83356070941337,7.47612551159618
21,STA_ES1432A_20,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,13,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.5,365.0,11.9,1009.9,4020.0,0.4607531378103207,4.686192468619247,13.290529244791086,40.90376569037657,7.560669456066946
22,STA_ES1432A_21,STA_ES1432A/S2B_MSIL2A_20200703T112119_N0214_R037_T29TPH_20200703T140926.npy,14,363.0,STA_ES1432A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.6,158.0,9.6,1017.8,6240.0,0.6347010867391305,6.228260869565218,16.881948421275073,34.97010869565217,12.402173913043478
23,STA_ES2019A_22,STA_ES2019A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,6,510.0,STA_ES2019A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.2,78.0,15.6,1012.7,13260.0,0.1,3.427374301675977,9.743732590529248,87.12445730824892,5.46927374301676
24,STA_ES2019A_23,STA_ES2019A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,8,510.0,STA_ES2019A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22.5,0.0,12.6,1015.0,21060.0,0.1232432432432432,3.226293103448276,24.509635974304068,76.84600760456274,13.094594594594597
25,STA_ES2019A_24,STA_ES2019A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,9,510.0,STA_ES2019A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,14.0,12.2,1013.5,21060.0,0.1229946524064171,3.274111675126904,37.36040609137056,62.19376693766937,15.408163265306122
26,STA_ES2019A_25,STA_ES2019A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,11,510.0,STA_ES2019A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,23.6,123.0,12.1,1017.2,13860.0,0.1215102974828375,4.3279069767441865,20.00228832951945,58.01729559748428,5.40661938534279
27,STA_ES2019A_26,STA_ES2019A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,12,510.0,STA_ES2019A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.1,22.0,10.7,1016.1,15000.0,0.1184971098265895,4.345029239766082,8.670520231213873,50.58741258741259,5.236486486486487
28,STA_ES2019A_27,STA_ES2019A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,14,510.0,STA_ES2019A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.1,75.0,14.6,1018.6,9660.0,0.104071661237785,4.768729641693811,10.219869706840392,42.15476190476191,8.148450244698205
29,STA_ES1349A_28,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,3,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.7,230.0,9.8,1023.4,3060.0,0.2574560216508795,4.2664872139973085,13.957063711911358,28.147679324894515,25.58663028649386
30,STA_ES1349A_29,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,4,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.8,37.0,10.3,1024.2,10380.0,0.2444113263785395,4.397913561847988,14.414307004470938,39.44929797191888,26.212893553223388
31,STA_ES1349A_30,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,6,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.1,73.0,11.0,1013.2,7560.0,0.1923184357541899,4.376912378303199,13.34441087613293,55.74670571010249,17.555710306406684
32,STA_ES1349A_31,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,7,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.3,70.0,11.8,1018.9,11400.0,0.1849797023004059,5.108254397834912,14.009472259810554,49.51549295774648,18.840324763193504
33,STA_ES1349A_32,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,8,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.7,27.0,10.3,1016.0,10800.0,0.1814486638537271,4.641456582633054,18.4187675070028,48.35672514619883,20.12482468443197
34,STA_ES1349A_33,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,9,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.9,64.0,9.7,1016.6,12120.0,0.2130695770804911,3.821282401091405,20.353342428376536,47.213371266002845,20.34924965893588
35,STA_ES1349A_34,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,10,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.7,27.0,8.5,1018.0,10800.0,0.2125033647240915,3.97442799461642,16.558546433378197,43.30337078651685,16.06056527590848
36,STA_ES1349A_35,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,11,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.6,85.0,9.0,1020.3,10500.0,0.2107941652998379,4.427876823338736,16.666666666666668,39.65482233502538,19.11892797319933
37,STA_ES1349A_36,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,12,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.5,115.0,9.4,1016.4,7440.0,0.1902170963364993,2.8598382749326148,13.0234375,32.798882681564244,16.99865229110512
38,STA_ES1349A_37,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,13,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.9,371.0,12.6,1009.2,2340.0,0.2016736990154712,1.5698324022346368,8.785515320334262,30.9171511627907,15.45658263305322
39,STA_ES1349A_38,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,14,122.0,STA_ES1349A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.5,117.0,12.4,1018.1,5700.0,0.2404135893648449,1.6053019145802652,12.097133757961783,25.82488479262673,15.809734513274336
40,STA-BG0075A_39,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,3,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.5,21.0,12.4,1012.2,6300.0,0.4309825032166891,19.84275908118439,35.092580641612905,55.6179811531494,42.99582772152086
41,STA-BG0075A_40,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,4,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.8,11.0,12.5,1021.8,7500.0,0.4002827379613095,13.299568449925594,37.31285713928571,72.16308035270833,43.744657734375
42,STA-BG0075A_41,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,6,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.4,29.0,11.4,1016.7,12480.0,0.2300416666666666,12.926536854172465,25.718666662666667,92.77619444083332,27.0327399130459
43,STA-BG0075A_42,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,7,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.9,50.0,10.8,1011.5,15420.0,0.3061507402422611,17.194433959056603,27.40999999709677,64.76177657732167,28.98783729823413
44,STA-BG0075A_43,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,9,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.4,62.0,9.6,1012.0,19140.0,0.2201214574898785,13.576454666414072,25.799999995333334,58.78260107407008,27.305999996833336
45,STA-BG0075A_44,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,10,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.3,6.0,11.4,1015.3,20760.0,0.2054032258064516,14.05274932332884,25.94161290064516,66.27970429658602,20.296536384865227
46,STA-BG0075A_45,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,11,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7,16.0,10.8,1017.0,15540.0,0.2891376912378303,16.813755212364395,24.38607142321429,59.55844227653686,29.43912377938804
47,STA-BG0075A_46,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,12,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,21.0,8.3,1018.5,11880.0,0.4074308941626016,19.856465794185667,29.251818177272728,37.222435060746754,45.054755696775246
48,STA-BG0075A_47,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,13,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2,39.0,12.1,1016.3,6300.0,0.4150557101532033,18.239233980055708,25.814333329333333,40.90307370926286,37.46292478743733
49,STA-BG0075A_48,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,14,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.8,26.0,11.1,1017.1,8220.0,0.6272849457930108,26.32158601794355,48.1149999975,24.7012634368414,48.704818300969045
50,STA-BG0075A_49,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,15,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4,1.0,12.1,1024.9,8700.0,0.6224059135349462,23.66149393987887,37.661666663333335,16.647792728802155,49.75180107180108
51,STA-BG0075A_50,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,16,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.1,21.0,13.9,1016.8,8880.0,0.450086206795977,22.436580456479884,29.077586202413794,32.84403735241379,39.81561781264368
52,STA-BG0075A_51,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,18,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.8,4.0,12.6,1018.1,16500.0,0.3285694444444444,19.13097221848611,25.41366666433333,63.37209721743056,20.789374996694445
53,STA-BG0075A_52,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,19,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.9,30.0,11.4,1014.7,14520.0,0.2825,26.946491931881724,19.285483868387097,56.91866935079301,17.588682792513442
54,STA-BG0075A_53,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,20,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.5,103.0,8.9,1009.7,14400.0,0.2724861111111111,28.475688451905423,15.808214282142858,47.63831944043056,21.16097221861111
55,STA-BG0075A_54,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,21,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,15.0,10.6,1013.2,21420.0,0.2391397849462365,23.221088706370967,20.48620689310345,59.98728494153226,15.472258061115593
56,STA-BG0075A_55,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,22,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.7,5.0,11.9,1012.8,21360.0,0.2190735694822888,34.60076335396947,13.561428571428571,59.83135869092391,7.652779287956403
57,STA-BG0075A_56,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,23,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.8,16.0,11.8,1015.9,16860.0,0.2183823529166666,2.8629238291646195,26.4774999975,56.27447432315404,14.672285008353809
58,STA-BG0075A_57,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,24,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.3,22.0,9.3,1015.7,11220.0,0.3365456988709677,3.976572576438172,28.177241376206897,36.51548386725806,25.854516125268816
59,STA-BG0075A_58,STA-BG0075A/S2B_MSIL2A_20200731T085559_N0214_R007_T35TNH_20200731T120922.npy,25,83.0,STA-BG0075A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.9,28.0,10.0,1025.6,5640.0,0.4572638886111111,4.782513884791667,32.19133332966667,21.273819441277777,33.23570832944444
60,STA_ES1820A_59,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,3,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.4,31.0,7.2,1022.8,11160.0,0.29055330634278,1.935627528636977,11.039999999666666,49.07412398921833,6.304177894609165
61,STA_ES1820A_60,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,4,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.1,8.0,7.5,1024.8,13020.0,0.540624999985119,4.725793647579365,10.153846153076923,57.27678571428572,5.622470234389882
62,STA_ES1820A_61,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,6,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.2,35.0,10.4,1013.4,15000.0,0.9665254237288136,4.343140025756719,7.436666664333333,70.70297029702971,4.0763790631966055
63,STA_ES1820A_62,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,7,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.3,8.0,11.1,1014.5,21540.0,0.1853420195439739,2.0411764688888887,14.5,67.26948051948052,4.204220775454545
64,STA_ES1820A_63,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,8,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22.5,1.0,10.6,1014.5,22260.0,0.0978991596638655,2.2834965011468533,12.826666666666666,67.83626220361228,3.673389352745098
65,STA_ES1820A_64,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,9,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.8,0.0,10.4,1013.1,22380.0,0.1990318118948824,2.4253709179228484,23.35652173869565,74.23651452282158,4.372991686703601
66,STA_ES1820A_65,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,10,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,26.3,0.0,9.6,1014.6,21720.0,0.2036437246963562,2.4070365339512856,17.041935483225807,74.12695417789757,5.1195945918783785
67,STA_ES1820A_66,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,11,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,5.0,8.9,1016.4,18360.0,0.1935843793584379,2.205865919469274,16.57666666533333,74.04463040446304,5.8730822841841
68,STA_ES1820A_67,STA_ES1820A/S2A_MSIL2A_20200715T110621_N0214_R137_T30STH_20200715T140105.npy,12,551.0,STA_ES1820A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18.9,22.0,6.8,1017.1,13560.0,0.148849797023004,2.2550744225575103,13.467741933225806,58.585250338267926,6.750338291813262
